dataset,method,fitness_rule,fitness,ACC,MCC,avg_odds_diff,stat_par_diff,eq_opp_diff,solution
adult_dataset_reader,mlp_preg_initializer,mcc_parity,0.3779252898335732,0.8482034273079049,0.5746643252336615,0.0947581501930588,0.1967390354000882,0.10254209265896,"{'l2': 0.001, 'dropout': 0.014590618847335451}"
adult_dataset_reader,mlp_preg_initializer,mcc_odds,0.4948245053881791,0.8474295190713101,0.5634287767592183,0.0686042713710391,0.1768213409792057,0.0595400760670516,"{'l2': 0.0001, 'dropout': 0.06821568774915153}"
adult_dataset_reader,mlp_preg_initializer,mcc_opportunity,0.4637119847225034,0.8511885019347706,0.5912065850180661,0.112318366024592,0.2107483340974777,0.1274946002955627,"{'l2': 0.0001, 'dropout': 0.04496251969983525}"
adult_dataset_reader,mlp_preg_initializer,acc_parity,0.6490721130467083,0.8483139856274184,0.5774273665123982,0.1010184186742966,0.1992418725807102,0.1123429076273037,"{'l2': 0.01, 'dropout': 0.07385859769588872}"
adult_dataset_reader,mlp_preg_initializer,acc_odds,0.7548760927505425,0.8509673852957435,0.5800385810174628,0.096091292545201,0.193867817904275,0.1045624504286739,"{'l2': 0.0001, 'dropout': 0.12126645575841946}"
adult_dataset_reader,mlp_preg_initializer,acc_opportunity,0.776708989203372,0.852072968490879,0.5839131753348217,0.0761080702924961,0.1793316270338766,0.075363979287507,"{'l2': 0.01, 'dropout': 0.06564640570552505}"
bank_dataset_reader,mlp_preg_initializer,mcc_parity,0.442060114728742,0.8998032141685799,0.5193020253604832,0.0413739015930342,0.0772419106317411,0.0390687346032406,"{'l2': 0.0001, 'dropout': 0.18866324862885586}"
bank_dataset_reader,mlp_preg_initializer,mcc_odds,0.4383583510569995,0.9002951787471302,0.5322621965774776,0.0939038455204781,0.142990932578384,0.120259019426457,"{'l2': 0.01, 'dropout': 0.18633978262078132}"
bank_dataset_reader,mlp_preg_initializer,mcc_opportunity,0.5135706398672543,0.9022630370613316,0.5277224434927421,0.02024713274296,0.032561482931604,0.0141518036254878,"{'l2': 0.0001, 'dropout': 0.12258885476097314}"
bank_dataset_reader,mlp_preg_initializer,acc_parity,0.8448447416791796,0.902918989832732,0.5260494187074627,0.0467430898286779,0.0580742481535523,0.0762272476558191,"{'l2': 0.0001, 'dropout': 0.043019040107794795}"
bank_dataset_reader,mlp_preg_initializer,acc_odds,0.7085980665671201,0.9009511315185308,0.5077053912852318,0.1923530649514105,0.1525892298514412,0.3559853802115341,"{'l2': 0.001, 'dropout': 0.06884785930789346}"
bank_dataset_reader,mlp_preg_initializer,acc_opportunity,0.7922715822964148,0.9011151197113808,0.5158274243221979,0.0859050446190534,0.1461197299483436,0.1088435374149659,"{'l2': 0.001, 'dropout': 0.056924233602307986}"
compas_dataset_reader,mlp_preg_initializer,mcc_parity,0.0684353302244451,0.6304700162074555,0.2505238121791285,0.1560082832807209,0.1820884819546834,0.133852794849283,"{'l2': 0.01, 'dropout': 0.1573590600779695}"
compas_dataset_reader,mlp_preg_initializer,mcc_odds,0.167704350002395,0.6458670988654781,0.2869214337827395,0.1192170837803444,0.133550041751163,0.0830637234826767,"{'l2': 0.01, 'dropout': 0.1500581948209125}"
compas_dataset_reader,mlp_preg_initializer,mcc_opportunity,0.2400875094544414,0.6580226904376013,0.308339102055562,0.1674002955715295,0.1878341203642408,0.0682515926011205,"{'l2': 0.001, 'dropout': 0.08455874967487716}"
compas_dataset_reader,mlp_preg_initializer,acc_parity,0.4316164546409269,0.6434359805510534,0.2742927432116048,0.2050355904348109,0.2118195259101265,0.1217156366092536,"{'l2': 0.01, 'dropout': 0.157498395631416}"
compas_dataset_reader,mlp_preg_initializer,acc_odds,0.4536472142977176,0.6491085899513777,0.2904094790446735,0.19546137565366,0.2233591339902374,0.1601169769486601,"{'l2': 0.0001, 'dropout': 0.12475992854360214}"
compas_dataset_reader,mlp_preg_initializer,acc_opportunity,0.4730401706656951,0.6312803889789304,0.2520767002168787,0.1976720406856483,0.214768898600942,0.1582402183132352,"{'l2': 0.01, 'dropout': 0.11480781801064899}"
german_dataset_reader,mlp_preg_initializer,mcc_parity,0.2560479691257316,0.745,0.3079408810257198,0.0699422504481268,0.0518929118999882,0.107720758206195,"{'l2': 0.01, 'dropout': 0.015578521555463949}"
german_dataset_reader,mlp_preg_initializer,mcc_odds,0.0772098183750633,0.745,0.3356079243341448,0.2583981059590815,0.1785895484525621,0.1285178236397748,"{'l2': 0.001, 'dropout': 0.08654768757606579}"
german_dataset_reader,mlp_preg_initializer,mcc_opportunity,0.3715141488422158,0.78,0.4215141488422158,0.025,0.0327380952380952,0.05,"{'l2': 0.001, 'dropout': 0.130442866752943}"
german_dataset_reader,mlp_preg_initializer,acc_parity,0.6896031746031746,0.765,0.2904753780775735,0.0413400937297995,0.0753968253968254,0.0734890109890109,"{'l2': 0.001, 'dropout': 0.15760630162962552}"
german_dataset_reader,mlp_preg_initializer,acc_odds,0.675132460507714,0.745,0.2758070515466401,0.0698675394922859,0.0799867241951542,0.0155971479500891,"{'l2': 0.001, 'dropout': 0.04364484300335289}"
german_dataset_reader,mlp_preg_initializer,acc_opportunity,0.6956060606060606,0.735,0.2960776160829069,0.1318251161500589,0.1200324412003244,0.0393939393939394,"{'l2': 0.01, 'dropout': 0.12387423689604665}"
adult_dataset_reader,mlp_preg_initializer,mcc_parity,0.385137211810335,0.8488667772249862,0.5831341099521477,0.0954843679202942,0.1979968981418126,0.1027084908037289,"{'l2': 0.01, 'dropout': 0.06685083606647821}"
adult_dataset_reader,mlp_preg_initializer,mcc_odds,0.4529578590236815,0.845771144278607,0.5714651560380362,0.1185072970143546,0.215271663495129,0.1332617066855919,"{'l2': 0.001, 'dropout': 0.001143683236196652}"
adult_dataset_reader,mlp_preg_initializer,mcc_opportunity,0.38442778170233,0.8431177446102819,0.5679288829895747,0.1368279321024033,0.2079794707653743,0.1835011012872446,"{'l2': 0.001, 'dropout': 0.18136556927060396}"
adult_dataset_reader,mlp_preg_initializer,acc_parity,0.6750145088818733,0.8499723604201216,0.5737059477705169,0.064571607261177,0.1749578515382483,0.0559527355774004,"{'l2': 0.001, 'dropout': 0.14031383135878053}"
adult_dataset_reader,mlp_preg_initializer,mcc_parity,0.4153301859883959,0.8489773355444997,0.5779529605033893,0.0391372213597327,0.1626227745149934,0.0150332634412777,"{'l2': 0.0001, 'dropout': 0.04673923689557395}"
adult_dataset_reader,mlp_preg_initializer,mcc_odds,0.5184182307854319,0.8488667772249862,0.5697838321601262,0.0513656013746942,0.1668847551967776,0.0374391625783703,"{'l2': 0.01, 'dropout': 0.09653203463952989}"
adult_dataset_reader,mlp_preg_initializer,mcc_opportunity,0.480831382240931,0.8479823106688779,0.582587571834844,0.0846824988922542,0.1780334043130682,0.1017561895939129,"{'l2': 0.01, 'dropout': 0.03492362153515407}"
adult_dataset_reader,mlp_preg_initializer,acc_parity,0.6371257826209201,0.8490878938640133,0.5736368573660191,0.1226633975799274,0.2119621112430932,0.1421070694419383,"{'l2': 0.01, 'dropout': 0.1822671966036655}"
adult_dataset_reader,mlp_preg_initializer,acc_odds,0.7741995054391,0.8491984521835269,0.5699503256856494,0.0749989467444268,0.1645682638095756,0.0825070616959624,"{'l2': 0.01, 'dropout': 0.051393812451102715}"
adult_dataset_reader,mlp_preg_initializer,acc_opportunity,0.7210307564309046,0.8531785516860144,0.5766487733090766,0.1036674432724667,0.1843686315736214,0.1321477952551097,"{'l2': 0.0001, 'dropout': 0.0856407949187328}"
bank_dataset_reader,mlp_preg_initializer,mcc_parity,0.4409665087306793,0.9012791079042308,0.5407962282261087,0.111631562485501,0.0998297194954294,0.2056279386956678,"{'l2': 0.01, 'dropout': 0.19622241352790548}"
bank_dataset_reader,mlp_preg_initializer,mcc_odds,0.4502336228262248,0.9045588717612332,0.5214165166266193,0.0711828938003944,0.1041578435087562,0.1150330116810564,"{'l2': 0.01, 'dropout': 0.12562072679477154}"
bank_dataset_reader,mlp_preg_initializer,mcc_opportunity,0.4975557569482018,0.9011151197113808,0.5351002601308538,0.0606507286315137,0.1398132592574327,0.0375445031826519,"{'l2': 0.01, 'dropout': 0.19293204764409022}"
bank_dataset_reader,mlp_preg_initializer,acc_parity,0.7935499177413141,0.9032469662184324,0.528048943309383,0.160162630850921,0.1096970484771182,0.2954931972789115,"{'l2': 0.001, 'dropout': 0.0012658770771916284}"
bank_dataset_reader,mlp_preg_initializer,acc_odds,0.8584888586834827,0.9040669071826828,0.5596437480468168,0.0455780484992002,0.0944393077593206,0.0431691965938542,"{'l2': 0.001, 'dropout': 0.0047630756430224845}"
bank_dataset_reader,mlp_preg_initializer,acc_opportunity,0.7888843114246886,0.8965234503115775,0.5062548130507469,0.0722258848535441,0.0952999808209218,0.1076391388868889,"{'l2': 0.01, 'dropout': 0.084849124694868}"
compas_dataset_reader,mlp_preg_initializer,mcc_parity,0.1051246017160985,0.6272285251215559,0.258972549409312,0.1332121840970988,0.1538479476932135,0.0801514275198485,"{'l2': 0.01, 'dropout': 0.09325076032465725}"
compas_dataset_reader,mlp_preg_initializer,mcc_odds,0.1193037702681899,0.653160453808752,0.3023217061170062,0.1830179358488162,0.210731211916046,0.1391378489847715,"{'l2': 0.01, 'dropout': 0.007860116740781343}"
compas_dataset_reader,mlp_preg_initializer,mcc_opportunity,0.0700055411246841,0.6499189627228525,0.2894206059641948,0.2361366888489117,0.2670139134953818,0.2194150648395106,"{'l2': 0.01, 'dropout': 0.18317356743091487}"
compas_dataset_reader,mlp_preg_initializer,acc_parity,0.4201824341911432,0.6499189627228525,0.290497414362302,0.2052066559312935,0.2297365285317092,0.1388083735909822,"{'l2': 0.0001, 'dropout': 0.030441840070980795}"
compas_dataset_reader,mlp_preg_initializer,acc_odds,0.523202278632306,0.6482982171799028,0.2880852296557884,0.1250959385475968,0.1528285947415615,0.0960829038889358,"{'l2': 0.01, 'dropout': 0.11349894198099253}"
compas_dataset_reader,mlp_preg_initializer,acc_opportunity,0.4586501080892436,0.6434359805510534,0.2753868726760208,0.2227069683788599,0.2378455376865749,0.1847858724618097,"{'l2': 0.01, 'dropout': 0.18225067260543443}"
german_dataset_reader,mlp_preg_initializer,mcc_parity,0.3049477990832204,0.77,0.4042125049655733,0.0580645161290322,0.0992647058823529,0.0166666666666667,"{'l2': 0.01, 'dropout': 0.025806174921002525}"
german_dataset_reader,mlp_preg_initializer,mcc_odds,0.3193583062712584,0.77,0.3597558228775074,0.040397516606249,0.0544536602957086,0.0051647811116576,"{'l2': 0.01, 'dropout': 0.00957900721446928}"
german_dataset_reader,mlp_preg_initializer,mcc_opportunity,0.3366382355815799,0.77,0.3686149797676263,0.0353336101882613,0.0202205882352941,0.0319767441860464,"{'l2': 0.001, 'dropout': 0.1285205955173167}"
german_dataset_reader,mlp_preg_initializer,acc_parity,0.6039944704892415,0.77,0.4047957306304072,0.1049037932930181,0.1660055295107585,0.1792193512919186,"{'l2': 0.01, 'dropout': 0.06879159235763586}"
german_dataset_reader,mlp_preg_initializer,acc_odds,0.5637539704877167,0.775,0.4084451592825365,0.2112460295122833,0.2089397089397089,0.1376623376623376,"{'l2': 0.01, 'dropout': 0.13246255631953474}"
german_dataset_reader,mlp_preg_initializer,acc_opportunity,0.7382704402515723,0.815,0.4593482637417022,0.0923420526014865,0.0948225026536149,0.0767295597484276,"{'l2': 0.0001, 'dropout': 0.0283907437304431}"
adult_dataset_reader,mlp_preg_initializer,mcc_parity,0.3839107809105218,0.8455500276395799,0.5720662184279945,0.0744920005956964,0.1881554375174727,0.0635478876354789,"{'l2': 0.01, 'dropout': 0.018817129332837534}"
adult_dataset_reader,mlp_preg_initializer,mcc_odds,0.5186971765807242,0.8467661691542289,0.5740159696977605,0.0553187931170362,0.1823542245076533,0.0303747002496685,"{'l2': 0.01, 'dropout': 0.12346553683491557}"
adult_dataset_reader,mlp_preg_initializer,mcc_opportunity,0.4862148330056278,0.846987285793256,0.5698648657105302,0.0752899668484488,0.1723273436186576,0.0836500327049023,"{'l2': 0.001, 'dropout': 0.10670182078114761}"
adult_dataset_reader,mlp_preg_initializer,acc_parity,0.6553926881366987,0.851077943615257,0.5833524393878841,0.0835192329070377,0.1956852554785583,0.0794807325499192,"{'l2': 0.0001, 'dropout': 0.03744042661619898}"
adult_dataset_reader,mlp_preg_initializer,acc_odds,0.7687496346380133,0.8572692095080154,0.5911626105745693,0.0885195748700021,0.1838517546950886,0.1009322763575903,"{'l2': 0.0001, 'dropout': 0.19177599611186572}"
adult_dataset_reader,mlp_preg_initializer,acc_opportunity,0.7099640685461581,0.8516307352128247,0.5889905856796869,0.1139179953651665,0.2003710406048447,0.1416666666666666,"{'l2': 0.0001, 'dropout': 0.18695541716573386}"
bank_dataset_reader,mlp_preg_initializer,mcc_parity,0.4213606905790515,0.894227615611676,0.5188449952330435,0.035666907101463,0.0974843046539919,0.0134146341463414,"{'l2': 0.001, 'dropout': 0.07223705909159713}"
bank_dataset_reader,mlp_preg_initializer,mcc_odds,0.4781354621363322,0.9091505411610364,0.5600498044671064,0.0819143423307741,0.1106638286118174,0.0784313725490196,"{'l2': 0.001, 'dropout': 0.1819614598785789}"
bank_dataset_reader,mlp_preg_initializer,mcc_opportunity,0.4556091470367555,0.902918989832732,0.5517861488428963,0.078037992838598,0.1241454118443181,0.0961770018061408,"{'l2': 0.01, 'dropout': 0.09437429705273866}"
bank_dataset_reader,mlp_preg_initializer,acc_parity,0.8184194767472447,0.9052148245326336,0.535692111122798,0.0238884650662551,0.0867953477853889,0.0057640662867622,"{'l2': 0.001, 'dropout': 0.06640781602589327}"
bank_dataset_reader,mlp_preg_initializer,acc_odds,0.8674362537526953,0.8970154148901279,0.5198713472951053,0.0295791611374326,0.0719067681531221,0.0477819591743642,"{'l2': 0.01, 'dropout': 0.06919754652840492}"
bank_dataset_reader,mlp_preg_initializer,acc_opportunity,0.8297030238408775,0.9020990488684816,0.5218107181067944,0.0625260640316988,0.1065951533126726,0.072396025027604,"{'l2': 0.01, 'dropout': 0.1732437126002411}"
compas_dataset_reader,mlp_preg_initializer,mcc_parity,0.0659567572038007,0.6596434359805511,0.3063832306060204,0.2116160130141017,0.2404264734022196,0.199339408578539,"{'l2': 0.01, 'dropout': 0.04687332331242716}"
compas_dataset_reader,mlp_preg_initializer,mcc_odds,0.0932219460964766,0.6418152350081038,0.2652426534068391,0.1720207073103624,0.1862700362700362,0.0947761194029851,"{'l2': 0.01, 'dropout': 0.03009450641029495}"
compas_dataset_reader,mlp_preg_initializer,mcc_opportunity,0.2503299026049006,0.6539708265802269,0.3062499989544168,0.1076625084825995,0.1429517559849313,0.0559200963495162,"{'l2': 0.01, 'dropout': 0.018597588411360954}"
compas_dataset_reader,mlp_preg_initializer,acc_parity,0.4119891093299144,0.6482982171799028,0.2806156553774142,0.2236907953048033,0.2363091078499883,0.14625291498834,"{'l2': 0.001, 'dropout': 0.1640370521333022}"
compas_dataset_reader,mlp_preg_initializer,acc_odds,0.3925914413371081,0.6458670988654781,0.2812593271605852,0.25327565752837,0.262132883898142,0.1427268967591548,"{'l2': 0.0001, 'dropout': 0.04062078601851313}"
compas_dataset_reader,mlp_preg_initializer,acc_opportunity,0.5905762919599733,0.6701782820097245,0.3306131725047755,0.1826840851744185,0.2012269585253456,0.0796019900497512,"{'l2': 0.01, 'dropout': 0.11090312836472926}"
german_dataset_reader,mlp_preg_initializer,mcc_parity,0.2881716816133308,0.73,0.3225703467397586,0.0458402499287796,0.0343986651264278,0.0336084905660377,"{'l2': 0.01, 'dropout': 0.09370970188263407}"
german_dataset_reader,mlp_preg_initializer,mcc_odds,0.2527461179880549,0.755,0.3685096647860845,0.1157635467980295,0.2063922632385895,0.2142857142857143,"{'l2': 0.001, 'dropout': 0.06231213305516512}"
german_dataset_reader,mlp_preg_initializer,mcc_opportunity,0.1284366993788914,0.665,0.1927727745845318,0.1034723854289071,0.1042543244506779,0.0643360752056404,"{'l2': 0.0001, 'dropout': 0.12260304253101777}"
german_dataset_reader,mlp_preg_initializer,acc_parity,0.5793382352941177,0.765,0.3656710971975019,0.1498608299595142,0.1856617647058823,0.1194331983805668,"{'l2': 0.0001, 'dropout': 0.02950830018410075}"
german_dataset_reader,mlp_preg_initializer,acc_odds,0.6620700850572863,0.76,0.3787853541873344,0.0979299149427138,0.1422778357084926,0.140304274329872,"{'l2': 0.001, 'dropout': 0.19083468078270938}"
german_dataset_reader,mlp_preg_initializer,acc_opportunity,0.7123018509729473,0.76,0.377637345482443,0.0861740044855151,0.0642857142857142,0.0476981490270527,"{'l2': 0.0001, 'dropout': 0.07286146057014257}"
adult_dataset_reader,mlp_preg_initializer,mcc_parity,0.3801749862928102,0.8470978441127694,0.5797626935679858,0.1145259674826874,0.1995877072751755,0.1482836599088175,"{'l2': 0.001, 'dropout': 0.08101846545254915}"
adult_dataset_reader,mlp_preg_initializer,mcc_odds,0.5058264937065541,0.8440022111663903,0.5742487227709318,0.0684222290643776,0.1849162221818439,0.0584413994097693,"{'l2': 0.001, 'dropout': 0.02614545095217384}"
